N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL DE L'ACCES AU DROIT DE L'ORNE (GIP);GIP;CDAD / CADJ
6;Sixiäme chambre;INSTITUT DE FORMATION AUX CARRIERES ADMINISTRATIVES SANITAIRES ET SOCIALES (GIP);;IFCASS
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'OISE (EX: CONSEIL DEPARTEMENTAL DE L'AIDE JURIDIQUE) (G;GIP;CDAD
6;Sixiäme chambre;Caisse d'amortissement de la dette sociale;EPA;CADES
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU CHER (EX: CONSEIL DEPARTEMENTAL DE L'AIDE JURIDIQUE) (GIP;GIP;CDAD
1;Premiäre chambre;Etablissement public de financement et de restructuration ;EPA;EPFR
2;Deuxiäme chambre;INSTITUT MINES-TELECOM (EX INSTITUT TELECOM - EX GROUPE DES ECOLES DES TELECOMMUNICATIONS) CHANGEMENT DE NOM ET DE STATUT (EPA EN EPCS) DECRET 2012-279);EPSCP;GET IF IMT
7;Septiäme chambre;Institut national de formation des personnels du ministäre de l'agriculture;EPA;INFOMA
2;Deuxiäme chambre;Agence nationale des frÇquences ;EPA;ANFR
3;Troisiäme chambre;êtablissement public d'amÇnagement universitaire de la rÇgion ◊le-de-France ;EPA;EPAURIF
2;Deuxiäme chambre;ETABLISSEMENT PUBLIC  D'AMENAGEMENT ET DE RESTRUCTURATION DES ESPACES COMMERCIAUX ET ARTISANAUX;EPIC;EPARECA
4;Quatriäme chambre;Institut Franáais d'Espagne ;;IFM
4;Quatriäme chambre;INSTITUT DES HAUTES ETUDES DE DEFENSE NATIONALE;EPA;IHEDN
3;Troisiäme chambre;Chancellerie de l'acadÇmie de Guyane ;EPA;CAG
3;Troisiäme chambre;Chancellerie de l'universitÇ de Martinique ;EPA;CAM
3;Troisiäme chambre;Chancellerie de l'universitÇ de l'acadÇmie de Guadeloupe;EPA;CAG
3;Troisiäme chambre;UNIVERSITE DE CERGY PONTOISE;EPSCP;UNIVERSITE
3;Troisiäme chambre;UNIVERSITE D'EVRY VAL D'ESSONNE;EPSCP;UNIVERSITE
3;Troisiäme chambre;UNIVERSITE DE MARNE LA VALLEE;EPSCP;UNIVERSITE
3;Troisiäme chambre;UNIVERSITE DE VERSAILLES SAINT-QUENTIN EN YVELINES;EPSCP;UNIVERSITE
3;Troisiäme chambre;OpÇrateur de patrimoine et des projets immobiliers de la culture ;EPA;OPPIC EMOC
3;Troisiäme chambre;Centre national de la danse;EPIC;CND
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU VAL DE MARNE (GIP);GIP;CDAD
3;Troisiäme chambre;êcole nationale supÇrieure des mÇtiers de l'image et du son ;EPA;FEMIS
5;Cinquiäme chambre;CENTRE EUROPEEN DE FORMATION CONTINUE MARITIME DE CONCARNEAU (GIP);GIP;FCIP / CEFCM
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU TARN (GIP);GIP;CDAD
4;Quatriäme chambre;Institut Franáais du Japon (ex institut franco-japonais de Tokyo);EDCE;IFJT
4;Quatriäme chambre;INSTITUT FRANCAIS DE CHINE                                                                                                                                                                                        ;;IFC
3;Troisiäme chambre;êcole du Louvre ;EPA;ECLOUVRE
7;Septiäme chambre;SNCF RÇseau;;SNCFR
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA SOMME  (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU PAS-DE-CALAIS (GIP);GIP;CDAD
6;Sixiäme chambre;Institut de Veille Sanitaire;EPA;IVS
3;Troisiäme chambre;UNIVERSITE DE LA NOUVELLE CALEDONIE;EPSCP;UNIVERSITE
4;Quatriäme chambre;Conseil dÇpartemental d'accäs au droit du Val-d'Oise ;GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'YONNE (GIP);GIP;CDAD
3;Troisiäme chambre;CENTRE DES MONUMENTS NATIONAUX;EPA;CMN
3;Troisiäme chambre;INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (EX ORSTOM);EPST;IRD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE VAUCLUSE (GIP);GIP;CDAD
3;Troisiäme chambre;Groupement d'intÇràt public  Agence Erasmus+France/Education Formation ex AGENCE EUROPE EDUCATION FORMATION FRANCE ;GIP;A2E2F
5;Cinquiäme chambre;"GIP ""CORSE COMPETENCES "" (ANCIENNEMENT GESTION DES OUTILS DE L'ENVIRONNEMENT DE L'EMPLOI ET DE LA FORMATION EN CORSE)";GIP;OREF
5;Cinquiäme chambre;CENTRE REGIONAL DE RESSOURCES POUR LES ACTEURS DE LA COHESION SOCIALE EN MIDI-PYRENEES RESSOURCES ET TERRITOIRES GIP;GIP;CRRPV
6;Sixiäme chambre;Etablissement franáais du sang ;EPIC;EFS
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU VAR  (GIP);GIP;CDAD
5;Cinquiäme chambre;AGENCE NATIONALE DE LUTTE CONTRE L'ILLETTRISME (GIP);GIP;ANLCI
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA HAUTE-GARONNE (GIP );GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA CREUSE (GIP);GIP;CDAD
2;Deuxiäme chambre;Fonds national de promotion et de communication de l'artisanat ;EPA;FNPCA
3;Troisiäme chambre;êtablissement public du musÇe du Quai Branly ;EPA;MQB
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DES PYRENEES ATLANTIQUES (GIP);GIP;CDAD
1;Premiäre chambre;Masse des douanes;EPA;EPMD
6;Sixiäme chambre;Fonds de financement de la protection complÇmentaire de la couverture universelle du risque maladie;EPA;FFPCCURM
7;Septiäme chambre;Agence franáaise pour le dÇveloppement et la promotion de l'agriculture biologique (agence Bio);GIP;ABIO
2;Deuxiäme chambre;GEODERIS (GIP);GIP;GEODERIS 
5;Cinquiäme chambre;FORMATION TOUT AU LONG DE LA VIE DE NANCY (GIP);GIP;
3;Troisiäme chambre;Centre interdisciplinaire d'Çtudes et de recherches sur l'Allemagne ;GIP;CIERA
6;Sixiäme chambre;Laboratoire franáais du fractionnement et des biotechnologies;;LFB
3;Troisiäme chambre;Groupement pour la coordination nationale de la formation en microÇlectronique;GIP;CNFM
4;Quatriäme chambre;AGENCE DES 50 PAS GEOMETRIQUES DE GUADELOUPE (EPIC);EPIC;A50PGG
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L'ACADEMIE DE LIMOGES (GIP);GIP;FCIP
4;Quatriäme chambre;AGENCE DES 50 PAS  GEOMETRIQUES DE LA MARTINIQUE;EPIC;A50PGM
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'HERAULT (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU NORD (GIP);GIP;CDAD
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE  ALSACE  (GIP);GIP;FCIP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DES YVELINES  (GIP);GIP;CDAD
3;Troisiäme chambre;CICRP Belle de Mai ;GIP;CICRP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA LOIRE  (GIP);GIP;CDAD
3;Troisiäme chambre;France TÇlÇvisionsˇ;;FT
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU LOIRET (GIP);GIP;CDAD
3;Troisiäme chambre;Institut supÇrieur d'ingÇnierie de la conception de Saint-DiÇ-des-Vosges;GIP; INSIC
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE TOULOUSE (GIP);GIP;FCIP
4;Quatriäme chambre;Conseil dÇpartemental d'accäs au droit de Loire-Atlantique;GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DES HAUTES ALPES (GIP);GIP;CDAD
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L'ACADEMIE DE ROUEN (GIP);GIP;FCIP
3;Troisiäme chambre;GIP êducation et formation tout au long de la vie Reims ;GIP;
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L'ACADEMIE DE CRETEIL (GIP);GIP;FCIP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT D'INDRE ET LOIRE (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA MOSELLE  (GIP);GIP;CDAD
5;Cinquiäme chambre;CENTRE DE RESSOURCES REGIONAL DE LA POLITIQUE DE LA VILLE EN PACA (GIP);GIP;CRPV
5;Cinquiäme chambre;RELATION EMPLOI FORMATION DE BRETAGNE GREF (GIP);GIP;GREF
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE SEINE-MARITIME (GIP);GIP;CDAD
5;Cinquiäme chambre;EDUCATION ET FORMATION TOUT AU LONG DE LA VIE DE LILLE (GIP);GIP;FCIP
5;Cinquiäme chambre;ACADEMIQUE DANS LES DOMAINES DE LA FORMATION ET DE L'INSERTION PROFESSIONNELLE AIX - MARSEILLE (GIP);GIP;FCIP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU PUY DE DOME (GIP);GIP;CDAD
4;Quatriäme chambre;ECOLE NATIONALE DE L'ADMINISTRATION PENITENTIAIRE;EPA;ENAP
5;Cinquiäme chambre;GIP FORMATION TOUT AU LONG DE LA VIE - INSERTION PROFESSIONNELLE ( ANCIENNEMENT FCIP ACADEMIE D'ORLEANS TOURS);;FCIP
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L'ACADEMIE DE RENNES (GIP);GIP;FCIP
5;Cinquiäme chambre;ACADEMIE POUR LA PROMOTION DE LA FORMATION ADULTES L'INSERTION PROFESS ET LA VALIDATION -FORINVAL;;FORINVAL
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU LOT ET GARONNE  (GIP);GIP;CDAD
5;Cinquiäme chambre;FORMATION ET INSERTION PROFESSIONNELLE DE L'ACADEMIE DE NICE  (GIP);GIP;FCIP
2;Deuxiäme chambre;ETABLISSEMENT DE COMMUNICATION ET DE PRODUCTION AUDIOVISUELLE DE LA DEFENSE;EPA;ECPAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU GERS (GIP);GIP;CDAD
5;Cinquiäme chambre;ACADEMIE DE LYON (GIPAL) (GIP);GIP;GIPAL
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE BASSE NORMANDIE (GIP);GIP;FCIP
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L`ACADEMIE DE LA MARTINIQUE (GIP);GIP;FCIP
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L`ACADEMIE DE VERSAILLES (GIP);GIP;FCIP
5;Cinquiäme chambre;DISPOSITIF ACADEMIQUE D`INSERTION DE FORMATION ET D`INGENIERIE DE L`ACADEMIE DE GUADELOUPE (GIP);GIP;FCIP
5;Cinquiäme chambre;"FORMATION DES ADULTES; VALIDATION; INSERTION; EDUCATION - DE MONTPELLIER (GIP)";GIP;FCIP / FORMAVIE
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE L`ACADEMIE DE CORSE (GIP);GIP;FCIP / ACOR
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L`AUDE (GIP);GIP;CDAD
5;Cinquiäme chambre;"GROUPEMENT D'INTERET PUBLIC FORMATION TOUT AU LONG DE LA VIE DE BOURGOGNE
EX
FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE BOURGOGNE (GIP)";GIP;FTLV
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE D'AQUITAINE (GIP);GIP;FCIP
7;Septiäme chambre;Atelier du grand Paris et des projets architecturaux et urbains;GIP;"AGPPAU
(anciennement EPAU)"
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE EXPERIENCE DE NANTES (GIP);;FCIP / EXPERIENCE
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE DE PARIS (GIP );GIP;FCIP
5;Cinquiäme chambre;FORMATION CONTINUE ET INSERTION PROFESSIONNELLE D'AUVERGNE (GIP);;FCIP
3;Troisiäme chambre;Institut national d?histoire de l?art ;EPSCP;INHA
5;Cinquiäme chambre;GIP Formation continue et insertion professionnelle de l'acadÇmie de Poitiers (anciennement GIP acadÇmique de Poitiers - Agence de validation, d'insertion et de formation (AGEVIF) ;GIP;FCIP
1;Premiäre chambre;ADETEF Assistance au dÇveloppement des Çchanges en technologies Çconomiques et financiäres;GIP;ADETEF
3;Troisiäme chambre;Agence de mutualisation des universitÇs et des Çtablissements (AMUE) ;GIP;AMUE
1;Premiäre chambre;DIRECTION DES GRANDES ENTREPRISES;;
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA SAVOIE (GIP);GIP;CDAD
2;Deuxiäme chambre;INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE (EPIC);EPIC;IRSN
7;Septiäme chambre;Groupement d'intÇràt public Seine-Aval ;GIP;GIPSA
3;Troisiäme chambre;UniversitÇ numÇrique francophone des sciences de la santÇ et du sport ;GIP;UNF3S
3;Troisiäme chambre;Les grands ateliers de l'Isle-d'Abeau ;GIP;GAIA
5;Cinquiäme chambre;Formation continue et insertion professionnelle de Franche-ComtÇ ;GIP;FCIP
6;Sixiäme chambre;CENTRE INTERMINISTERIEL DE FORMATION ANTI DROGUES (GIP);GIP;CIFAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU TARN ET GARONNE (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA MARTINIQUE  (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA DROME (GIP);GIP;CDAD
3;Troisiäme chambre;Bibliothäque universitaire des langues et civilisations;GIP;BUCS / BULAC
4;Quatriäme chambre;AGENCE DE MAITRISE D'OUVRAGE DES TRAVAUX DU MINISTERE DE LA JUSTICE;EPA;AMOTMJ
6;Sixiäme chambre;Agence technique de l'information sur l'hospitalisation;EPA;ATIH
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'INDRE (GIP);GIP;CDAD
5;Cinquiäme chambre;FORMATION ET INSERTION PROFESSIONNELLE DE L'ACADEMIE DE GRENOBLE (GIP );GIP;FCIP / FIPAG
3;Troisiäme chambre;Institut national de recherches archÇologiques prÇventives ;EPA;INRAP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'EURE (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU GARD (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA MARNE (GIP);GIP;CDAD
3;Troisiäme chambre;Centre national de la chanson, des variÇtÇs et du jazz ;EPIC;CNCVJ
3;Troisiäme chambre;UNIVERSITE POLYNESIE FRANCAISE;;UNIVERSITE
6;Sixiäme chambre;Institut national de prÇvention et d'Çducation pour la santÇ;EPA;INPES
6;Sixiäme chambre;RESEAU POUR LE DEPISTAGE DES CANCERS EN HAUTE-SAVOIE (GIP);GIP;
5;Cinquiäme chambre;PROJET DE RENOUVELLEMENT URBAIN DE BOURGES (ANCIENNEMENT:RENOUVELLEMENT URBAIN DE BOURGES ) (GIP);GIP;
5;Cinquiäme chambre;POLE RHONE ALPES DE L'ORIENTATION (GIP);GIP;PRAO
2;Deuxiäme chambre;Business France;EPIC;BUSINESSFRANCE
3;Troisiäme chambre;UNIVERSITE DE TECHNOLOGIE DE TROYES;EPSCP;UTT
5;Cinquiäme chambre;ESPACE COMPETENCES (GIP);GIP;
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DU BAS RHIN (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'ARDECHE (GIP);GIP;CDAD
3;Troisiäme chambre;êcole nationale supÇrieure d'art de Bourges ;EPA;ENSA
1;Premiäre chambre;AUTORITE DES MARCHES FINANCIERS;API;AMF
3;Troisiäme chambre;UNIVERSITE DE TECHNOLOGIE DE BELFORT-MONTBELIARD;EPSCP;UTBM
3;Troisiäme chambre;êcole nationale supÇrieure d'art de Limoges Aubusson ;EPA;ENSA
3;Troisiäme chambre;êcole nationale supÇrieure d'art de Dijon ;EPA;ENSA
7;Septiäme chambre;France VÇtÇrinaire International;GIP;FVI
7;Septiäme chambre;Centre national de la propriÇtÇ forestiäre;EPA;CNPF
3;Troisiäme chambre;êcole nationale supÇrieure d'art de Cergy ;EPA;ENSAC
3;Troisiäme chambre;êtablissement public administratif Villa Arson ;EPA;EPAVA
2;Deuxiäme chambre;Direction des constructions navales services ;;DCNS
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA CORSE DU SUD (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA REUNION (GIP);GIP;CDAD
4;Quatriäme chambre;AUTORITES D'INTERREG 3 SAARLAND MOSELLE-WESTPFALZ (GIP);GIP;INTERREG
6;Sixiäme chambre;Agence de santÇ des territoires de Wallis et Futuna;EPA;ASTWF
1;Premiäre chambre;FONDS DE RESERVE POUR LES RETRAITES;EPA;FRR
3;Troisiäme chambre;êcole nationale supÇrieure d'art de Nancy;EPA;ENSA
3;Troisiäme chambre;êcole centrale de Marseille ;;EGIM
3;Troisiäme chambre;GIP Action culturelle en milieu scolaire d'Alsace;GIP;ACMISA
3;Troisiäme chambre;CitÇ de l'architecture et du Patrimoine;EPIC;CiAP
6;Sixiäme chambre;Institut national du cancer;;INCA
6;Sixiäme chambre;Ecole nationale supÇrieur de sÇcuritÇ sociale;EPA;EN3S
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DES DEUX SEVRES (GIP);GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'AIN GIP;GIP;CDAD
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE L'AISNE (GIP);GIP;CDAD
3;Troisiäme chambre;MusÇe national des arts asiatiques Guimet ;EPA;MNAA
4;Quatriäme chambre;ETABLISSEMENT PUBLIC DU PALAIS DE JUSTICE DE PARIS;EPA;EPPJP
3;Troisiäme chambre;êtablissement public du musÇe d'Orsay et du musÇe de l'Orangerie ;EPA;EPMO
3;Troisiäme chambre;êcole nationale supÇrieure de la photographie d'Arles ;EPA;ENSPH
5;Cinquiäme chambre;INSTITUT NATIONAL DU TRAVAIL, DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE;EPA;INTEFP
4;Quatriäme chambre;GIP FORMATION CADRES AVENIR;GIP;FCA
4;Quatriäme chambre;INSTITUT NATIONAL DES HAUTES ETUDES DE SECURITE ET DE LA JUSTICE (DEPUIS 2009 NOUVELLE DENOMINATION);EPA;INHESJ
4;Quatriäme chambre;ECOLE NATIONALE SUPERIEURE DES OFFICIERS DE SAPEURS POMPIERS;EPA;ENSOSP
4;Quatriäme chambre;SociÇtÇ immobiliäre de la Guyane;;SIGUY
5;Cinquiäme chambre;AGENCE NATIONALE POUR LA RENOVATION URBAINE;EPIC;ANRU
5;Cinquiäme chambre;Caisse nationale de solidaritÇ pour l'autonomie ;EPA;CNSA
3;Troisiäme chambre;Institut national supÇrieur de formation et de recherche pour l'Çducation des jeunes handicapÇs et les enseignements adaptÇs ;EPA;INSFREJHEA
3;Troisiäme chambre;GIP RÇussite Çducative vigneusienne ;GIP;REUSEDUC
7;Septiäme chambre;Centre ressource du dÇveloppement durable;GIP;CERDD
6;Sixiäme chambre;Fonds d'indemnisation des victimes de l'amiante;EPA;FIVA
6;Sixiäme chambre;Office national d'indemnisation des accidents mÇdicaux;EPA;ONIAM
3;Troisiäme chambre;MusÇe national du sport ;EPA;MNS
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE LA HAUTE SAVOIE (GIP);GIP;CDAD
6;Sixiäme chambre;HAUTE AUTORITE DE SANTE;API;HAS
7;Septiäme chambre;CONTROLEUR BUDGETAIRE ET COMPTABLE DU MINISTERE DE L' AGRICULTURE, ALIMENTATION, PECHE ET AFFAIRES;;CBCM
4;Quatriäme chambre;INSTITUT NATIONAL DE POLICE SCIENTIFIQUE;EPA;INPS
2;Deuxiäme chambre;AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS;EPA;ANGDM
3;Troisiäme chambre;THEATRE NATIONAL DE L'OPERA COMIQUE;EPIC;TNOC
3;Troisiäme chambre;Domaine national de Chambord ;EPIC;DNCH
1;Premiäre chambre;Etablissement public BPI-Groupe;;BPI-OSEO
5;Cinquiäme chambre;GIP Formation continue et insertion professionnelle de l'acadÇmie de La RÇunion ;GIP;FCIP
4;Quatriäme chambre;CONSEIL DEPARTEMENTAL D'ACCES AU DROIT DE PARIS (GIP) VOIR N¯ 4165;GIP;CDAD
6;Sixiäme chambre;Etablissement de retraite additionnelle de la fonction publique;EPA;ERAFP
7;Septiäme chambre;ETABLISSEMENT PUBLIC DE SECURITE FERROVIAIRE;EPA;EPSF
5;Cinquiäme chambre;Agence franáaise de l'adoption ;GIP;AFA
3;Troisiäme chambre;ECOLE NATIONALE SUPERIEURE D'INFORMATIQUE POUR L'INDUSTRIE ET L'ENTREPRISE ( ENSIIE );EPA;ENSIIE
5;Cinquiäme chambre;Agence nationale pour la cohÇsion sociale et l'ÇgalitÇ des chances   (EX FASILD -ID N¯83);EPA;ACSE
7;Septiäme chambre;Parcs nationaux de France;EPA;PNF
7;Septiäme chambre;PORT RHENAN DE COLMAR NEUF BRISACH;;PRCNB
6;Sixiäme chambre;GIP CPAGE;;CPAGE 
6;Sixiäme chambre;CYCLOTRON REUNION OCEAN INDIEN;GIP;CYROI
3;Troisiäme chambre;RÇussite Çducative Ö Paris ;GIP;REUSEDUC
3;Troisiäme chambre;Centre technique du livre de l'enseignement supÇrieur;EPA;CTLES
3;Troisiäme chambre;CitÇ de l'histoire de l'immigration et de l'aquarium (Çtablissement public palais de la porte dorÇe);EPA;CNHI
7;Septiäme chambre;Institut national d'Çtudes supÇrieures agronomiques de Montpellier (Montpellier SupAgro);EPSCP;CIESSA
7;Septiäme chambre;Institut national des sciences et industries du vivant et de l'environnement (Agro Paris Tech);EPSCP;AGROPARISTECH
3;Troisiäme chambre;Conseil supÇrieur de l'audiovisuel;AAI-PM;CSA
3;Troisiäme chambre;Agence franáaise de lutte contre le dopage  ;API;AFLD
3;Troisiäme chambre;CENTRE NATIONAL POUR LE DEVELOPPEMENT DU SPORT;EPA;CNDS
7;Septiäme chambre;Grand port maritime de La Rochelle;EPIC;GPMR
7;Septiäme chambre;ECOLE NATIONALE DES TRAVAUX PUBLICS DE  L'ETAT;EPSCP;ENTPE
7;Septiäme chambre;Agence des aires marines protÇgÇes ;EPA;AAMP
3;Troisiäme chambre;AcadÇmie des technologies ;EPA;ACATECH
3;Troisiäme chambre;AcadÇmie des beaux-arts ;;ACABA
3;Troisiäme chambre;AcadÇmie des sciences (VOIR ID 1795 - UN SEUL ET MEME COMPTE AVEC ID 5212-5213-5214-5215);;ACAS
3;Troisiäme chambre;ACADEMIE DES INSCRIPTIONS ET BELLES LETTRES (VOIR ID 1795 - UN SEUL ET MEME COMPTE AVEC ID 5212-5213-5214-5215);;ACAIBL
3;Troisiäme chambre;ACADEMIE DES SCIENCES MORALES ET POLITIQUES (VOIR ID 1795 - UN SEUL ET MEME COMPTE AVEC ID 5212-5213-5214-5215);;ACASMP
7;Septiäme chambre;AGENCE DE FINANCEMENT DES INFRASTRUCTURES DE TRANSPORT DE FRANCE;EPA;AFITF
5;Cinquiäme chambre;êtablissement public d'insertion de la dÇfense ;EPA;EPIDE
1;Premiäre chambre;Monnaie de Paris;EPIC;MDP
7;Septiäme chambre;Parc national amazonien de Guyane;EPA;PNAG
6;Sixiäme chambre;DEPISTAGE DES CANCERS EN ARIEGE ( GIP );GIP;
3;Troisiäme chambre;REUSSITE EDUCATIVE HEROUVILLAIS (GIP);GIP;REUSEDUC
3;Troisiäme chambre;Groupement d'intÇràt public caennais rÇussite Çducative;GIP;REUSEDUC
7;Septiäme chambre;Parc national de la RÇunion;EPA;PNARE
3;Troisiäme chambre;Institut des hautes Çtudes pour la science et la technologie ;EPA;IHEST
3;Troisiäme chambre;CommunautÇ d'universitÇs et Çtablissements UniversitÇ fÇdÇrale de Toulouse Midi-PyrÇnÇes (COMUE) ;EPA-EPSCP;UFTMP
3;Troisiäme chambre;Comue UniversitÇ europÇenne de Bretagne (PRES);EPA-EPCS;UEB
3;Troisiäme chambre;CommunautÇ d'universitÇs et Çtablissements UniversitÇ Paris-Est (COMUE);EPA-EPCS;UPE
3;Troisiäme chambre;"CommunautÇ d'universitÇs et Çtablissements d'Aquitaine (COMUE)
EX UNIVERSITE DE BORDEAUX (PRES)";EPA-EPCS;UB
3;Troisiäme chambre;"
CommunautÇs d'universitÇs et Çtablissements UniversitÇ de Lyon (COMUE)

EX POLE DE RECHERCHE ET D'ENSEIGNEMENT SUPERIEUR UNIVERSITE DE LYON";EPA-EPCS;UL
3;Troisiäme chambre;"INSTITUT DES SCIENCES ET TECHNOLOGIES DE PARIS "" PARIS TECH""(PRES)";EPA-EPCS;PARIS TECH
5;Cinquiäme chambre;Fonds pour l'insertion des personnes handicapÇes dans la fonction publique ( FIPHFP );EPA;FIPHFP
4;Quatriäme chambre;CONTROLEUR BUDGETAIRE ET COMPTABLE DU MINISTERE DE L'INTERIEUR, DE L'OUTRE-MER ET COLLECTIVITES TE;;CBCM
6;Sixiäme chambre;GROUPEMENT DE COOPERATION SANITAIRE MEDICO SOCIAL DE SAINTONGE - LABORATOIRE INTER-HOSPITALIER;GCSMS;GCSMS
6;Sixiäme chambre;GROUPEMENT DE COOPERATION SANITAIRE SANT'HAINAUT - CENTRE HOSPITALIER DE VALENCIENNES - CLINIQUE TE;GCS;
6;Sixiäme chambre;GROUPEMENT DE COOPERATION SANITAIRE DU POLE BLANCHISSERIE DU PRE-BOCAGE A LA VIRE;GCS;
6;Sixiäme chambre;GROUPEMENT DE COOPERATION SANITAIRE UNION DES HOPITAUX POUR LES ACHATS U.N.I.H.A.;GCS;
7;Septiäme chambre;Office national de l'eau et des milieux aquatiques;EPA;ONEMA
6;Sixiäme chambre;Etablissement de prÇparation et de rÇponse aux urgence sanitaires;EPA;EPRUS
3;Troisiäme chambre;Agence nationale de la recherche;EPA;ANR
3;Troisiäme chambre;Centre de recherche du chÉteau de Versailles ;GIP;
7;Septiäme chambre;Bretagne environnement;GIP;
