N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
1;Premiäre chambre;DDFIP DU LOIR ET CHER                                                                                                                                                                                                                       ;;DDFiP41
1;Premiäre chambre;DDFIP DE LA LOIRE                                                                                                                                                                                                                           ;;DDFiP42
1;Premiäre chambre;DDFIP DE LA HAUTE LOIRE                                                                                                                                                                                                                     ;;DDFiP43
1;Premiäre chambre;DRFIP DES PAYS DE LA LOIRE                                                                                                                                                                                                                  ;;DRFiP44
1;Premiäre chambre;DRFIP DU CENTRE                                                                                                                                                                                                           ;;DRFiP45
1;Premiäre chambre;DDFIP DU LOT                                                                                                                                                                                                                                ;;DDFiP46
1;Premiäre chambre;DDFIP DU LOT ET GARONNE                                                                                                                                                                                                                     ;;DDFiP47
1;Premiäre chambre;DDFIP DE LA LOZERE                                                                                                                                                                                                                          ;;DDFiP48
1;Premiäre chambre;DDFIP DE MAINE ET LOIRE                                                                                                                                                                                                                     ;;DDFiP49
1;Premiäre chambre;DDFIP DE LA MANCHE                                                                                                                                                                                                                          ;;DDFiP50
1;Premiäre chambre;DRFIP DE LA CHAMPAGNE-ARDENNE                                                                                                                                                                                                                    ;;DRFiP51
1;Premiäre chambre;DDFIP DE LA HAUTE MARNE                                                                                                                                                                                                                     ;;DDFiP52
1;Premiäre chambre;DDFIP DE LA MEURTHE ET MOSELLE                                                                                                                                                                                                              ;;DDFiP54
1;Premiäre chambre;DDFIP DE LA MEUSE                                                                                                                                                                                                                           ;;DDFiP55
1;Premiäre chambre;DDFIP DU MORBIHAN                                                                                                                                                                                                                           ;;DDFiP56
1;Premiäre chambre;DDFIP DE LA NIEVRE                                                                                                                                                                                                                          ;;DDFiP58
1;Premiäre chambre;DRFIP DU NORD PAS-DE-CALAIS                                                                                                                                                                                                                               ;;DRFiP59
1;Premiäre chambre;DDFIP DE L'OISE                                                                                                                                                                                                                             ;;DDFiP60
1;Premiäre chambre;DDFIP DE L'ORNE                                                                                                                                                                                                                             ;;DDFiP61
1;Premiäre chambre;DDFIP DU PAS DE CALAIS                                                                                                                                                                                                                      ;;DDFiP62
1;Premiäre chambre;DDFIP DES HAUTES PYRENEES                                                                                                                                                                                                                   ;;DDFiP65
1;Premiäre chambre;DDFIP DES PYRENEES ORIENTALES                                                                                                                                                                                                               ;;DDFiP66
1;Premiäre chambre;DDFIP DU TERRITOIRE DE BELFORT                                                                                                                                                                                                              ;;DDFiP90
7;Septiäme chambre;Grand Port maritime de Bordeaux;EPIC;GPMB
7;Septiäme chambre;Port autonome de Strasbourg;EP sui generis;PAS
7;Septiäme chambre;Compagnie gÇnÇrale maritime et financiäre ;;CGMF
7;Septiäme chambre;RÇgie autonome des transports parisiens ;;RATP
7;Septiäme chambre;Caisse nationale des autoroutes ;EPA;CNA
7;Septiäme chambre;Grand port maritime de Rouen ;EPIC;GPMR
